x,y,title,artist,genre,danceability,energy,loudness_norm,speechiness,acousticness,instrumentalness,liveness,valence,tempo_norm,tempo,loudness
-10.596509,-10.918891,Die With A Smile,"Lady Gaga, Bruno Mars",pop,0.521,0.592,0.798121856780453,0.0304,0.308,0.0,0.122,0.535,0.6775281669503626,157.969,-7.777
-18.092813,8.787278,BIRDS OF A FEATHER,Billie Eilish,pop,0.747,0.507,0.7448484578752949,0.0358,0.2,0.0608,0.117,0.438,0.34712531876819863,104.978,-10.171
-1.8574395,-18.62418,That’s So True,Gracie Abrams,pop,0.554,0.808,0.8784102541279096,0.0368,0.214,0.0,0.159,0.372,0.36938453576750657,108.548,-4.169
27.507963,-7.215795,Taste,Sabrina Carpenter,pop,0.67,0.91,0.8806132894209799,0.0634,0.0939,0.0,0.304,0.786,0.3969310961884988,112.966,-4.07
30.418724,21.06158,APT.,"ROSÉ, Bruno Mars",pop,0.777,0.783,0.871556366549468,0.26,0.0283,0.0,0.355,0.939,0.6217741281806675,149.027,-4.477
-5.507642,6.330734,"Good Luck, Babe!",Chappell Roan,pop,0.7,0.582,0.8385553429169077,0.0356,0.0502,0.0,0.0881,0.785,0.4202876863507979,116.712,-5.96
-26.18796,22.081877,Diet Pepsi,Addison Rae,pop,0.669,0.561,0.8256931772664561,0.0411,0.495,0.00962,0.0954,0.841,0.628271076111558,150.069,-6.538
-41.287136,-2.0526295,WILDFLOWER,Billie Eilish,pop,0.467,0.247,0.7041034313943655,0.0431,0.612,0.000271,0.17,0.126,0.6160004489253849,148.101,-12.002
-39.69971,5.275212,Sailor Song,Gigi Perez,pop,0.492,0.416,0.7388846855667809,0.0254,0.686,8.61e-05,0.203,0.297,0.28445034698191207,94.926,-10.439
4.8075876,-4.085872,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",pop,0.769,0.722,0.8491254617472963,0.0507,0.0584,2.56e-06,0.111,0.57,0.44062026524008163,119.973,-5.485
-39.099518,-23.931303,Guess featuring billie eilish,"Charli xcx, Billie Eilish",pop,0.776,0.667,0.8238239351996083,0.0983,0.0146,0.3,0.0761,0.618,0.5032578265776299,130.019,-6.622
-6.183252,2.787387,Please Please Please,Sabrina Carpenter,pop,0.669,0.586,0.8360407672793626,0.054,0.274,0.0,0.104,0.579,0.360175330303087,107.071,-6.073
7.4749055,-10.074328,2 hands,Tate McRae,pop,0.608,0.806,0.8945658462770929,0.0486,0.121,0.0,0.191,0.587,0.34122693801712156,104.032,-3.443
0.59569466,1.9904026,A Bar Song (Tipsy),Shaboozey,pop,0.722,0.709,0.8610307534825759,0.0273,0.0633,0.0,0.0804,0.604,0.19769551635771873,81.012,-4.95
23.191633,-4.394318,HOT TO GO!,Chappell Roan,pop,0.742,0.757,0.8603409141483821,0.0421,0.0187,0.0,0.305,0.957,0.5653778767076312,139.982,-4.981
31.579668,-14.6870985,Disease,Lady Gaga,pop,0.562,0.917,0.9095865414571187,0.117,0.0513,0.0,0.488,0.501,0.3222411352824177,100.987,-2.768
27.481878,-4.751356,Moonlit Floor (Kiss Me),LISA,pop,0.734,0.787,0.8832613823490142,0.116,0.126,0.0,0.312,0.672,0.37805752480001,109.939,-3.951
15.255531,-9.51502,Love Somebody,Morgan Wallen,pop,0.619,0.843,0.8521741065467978,0.0284,0.00948,0.000118,0.164,0.746,0.45365780662539046,122.064,-5.348
-35.180183,1.9855372,"I Love You, I'm Sorry",Gracie Abrams,pop,0.53,0.406,0.8041301348524634,0.033,0.656,0.0,0.133,0.338,0.4154742086131323,115.94,-7.507
-40.350693,-23.570608,Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",pop,0.727,0.782,0.781387689705817,0.042,0.0563,0.336,0.225,0.655,0.4407387316610864,119.992,-8.529
37.419144,12.015677,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",pop,0.505,0.812,0.8824825314878277,0.461,0.285,0.0,0.444,0.664,0.19194677740159496,80.09,-3.986
15.958897,-7.415619,Espresso,Sabrina Carpenter,pop,0.701,0.76,0.8492812319195335,0.0285,0.107,6.54e-05,0.185,0.69,0.340834128305369,103.969,-5.478
11.902023,9.617822,Mantra,JENNIE,pop,0.894,0.725,0.8602741555031376,0.0432,0.00434,1.15e-05,0.0815,0.838,0.42200856699276107,116.988,-4.984
-4.6744714,29.02192,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",pop,0.833,0.563,0.8467221505184921,0.204,0.528,1.27e-05,0.139,0.343,0.3473123710118903,105.008,-5.593
